Time (rjd) rv (km/s) err (km/s)
-------- ---------- ---------- 
52948.700543 35.54006 0.00124 
53229.865153 35.52818 0.00053 
53230.885388 35.52613 0.00045 
53232.827037 35.52182 0.00092 
53262.832674 35.51437 0.00042 
53265.827803 35.52169 0.00050 
53266.810718 35.51991 0.00064 
53267.798078 35.52042 0.00057 
53268.738793 35.52320 0.00047 
53271.800840 35.52798 0.00055 
53272.765661 35.52449 0.00051 
53273.756743 35.52582 0.00044 
53274.766046 35.52666 0.00047 
53289.726717 35.53334 0.00054 
53294.718402 35.53452 0.00072 
53296.731043 35.52825 0.00046 
53309.672955 35.52636 0.00045 
53314.739453 35.52184 0.00048 
53321.730886 35.53126 0.00047 
53343.650435 35.52732 0.00056 
53344.635203 35.53200 0.00053 
53574.883736 35.52865 0.00043 
53575.902574 35.52962 0.00049 
53579.892152 35.52752 0.00049 
53604.864112 35.52439 0.00155 
53606.878560 35.51295 0.00064 
53607.862386 35.51448 0.00059 
53608.843526 35.51531 0.00046 
53610.851301 35.52374 0.00142 
53668.682097 35.52909 0.00046 
53692.577848 35.52763 0.00045 
53693.539827 35.52495 0.00039 
53695.546933 35.53323 0.00041 
53699.598690 35.52176 0.00048 
53722.597783 35.51341 0.00040 
53729.533673 35.52730 0.00039 
53759.542249 35.52710 0.00045 
53761.531857 35.52524 0.00044 
53944.920185 35.53441 0.00069 
53948.939084 35.52485 0.00079 
53950.928829 35.52522 0.00053 
53974.824611 35.52905 0.00057 
53976.807559 35.52814 0.00063 
53980.828169 35.52625 0.00048 
53981.858869 35.52449 0.00044 
53982.853704 35.52676 0.00042 
53983.819994 35.53033 0.00067 
54047.593747 35.53566 0.00047 
54049.609607 35.52725 0.00057 
54051.639934 35.52659 0.00069 
54053.688938 35.53604 0.00047 
54055.676278 35.52935 0.00043 
54076.684878 35.53628 0.00060 
54077.618155 35.53289 0.00052 
54079.624460 35.52567 0.00048 
54081.656910 35.53270 0.00076 
54083.637673 35.53370 0.00064 
54120.586525 35.52676 0.00094 
54121.545387 35.53212 0.00057 
54314.833837 35.52673 0.00070 
54316.846569 35.52880 0.00052 
54319.864920 35.53086 0.00057 
54340.789644 35.52960 0.00046 
54341.857588 35.53040 0.00049 
54342.791757 35.52657 0.00053 
54343.884005 35.52280 0.00059 
54344.804342 35.51966 0.00048 
54345.824377 35.52429 0.00047 
54346.874033 35.53317 0.00072 
54347.810356 35.53424 0.00049 
54348.839344 35.52828 0.00050 
54349.824140 35.52340 0.00045 
54387.753382 35.54142 0.00057 
54392.709864 35.53606 0.00052 
54672.930833 35.52832 0.00053 
54674.936375 35.54180 0.00063 
54677.874182 35.53856 0.00047 
54681.883583 35.54058 0.00054 
54699.905951 35.52998 0.00052 
54700.879837 35.52411 0.00049 
54702.876507 35.52509 0.00056 
54705.862866 35.52832 0.00070 
54708.857586 35.52909 0.00048 
54710.817762 35.53887 0.00058 
54720.728040 35.52945 0.00049 
54721.812209 35.53551 0.00081 
54722.811958 35.53488 0.00048 
54730.790969 35.53325 0.00050 
54731.731648 35.53420 0.00043 
54732.735023 35.53884 0.00055 
54733.743640 35.53872 0.00043 
54734.759629 35.53230 0.00054 
54736.683562 35.52815 0.00057 
54737.736214 35.53397 0.00073 
54743.677098 35.54015 0.00052 
54745.663551 35.53661 0.00047 
54747.822128 35.52527 0.00047 
54748.786221 35.52669 0.00041 
54750.803894 35.53364 0.00052 
54758.682427 35.52975 0.00043 
54759.674222 35.52850 0.00042 
54760.686923 35.53114 0.00041 
54761.677044 35.53778 0.00043 
54763.663210 35.53430 0.00048 
54764.605129 35.53084 0.00087 
54765.638628 35.53012 0.00069 
54766.631754 35.53086 0.00069 
54767.620499 35.53819 0.00049 
54774.614543 35.54531 0.00045 
54775.656999 35.54138 0.00054 
54776.565884 35.53901 0.00054 
54777.586673 35.53941 0.00057 
54778.583910 35.54286 0.00043 
54779.561541 35.54268 0.00050 
54780.578359 35.53982 0.00047 
54799.586422 35.52535 0.00054 
54800.616245 35.52437 0.00044 
54801.621649 35.52932 0.00047 
54802.638602 35.53103 0.00051 
54803.641708 35.52828 0.00041 
54804.664408 35.52373 0.00049 
54805.597303 35.52220 0.00049 
54806.581063 35.52765 0.00059 
54848.523947 35.53092 0.00050 
54851.533166 35.52169 0.00044 
54853.542410 35.52842 0.00048 
55020.896436 35.54196 0.00044 
55021.904529 35.54027 0.00056 
55022.895816 35.54093 0.00057 
55024.901467 35.53184 0.00050 
55025.767586 35.53675 0.00089 
55037.933241 35.53957 0.00045 
55038.867190 35.53824 0.00044 
55039.919361 35.53814 0.00196 
55040.848622 35.53190 0.00063 
55041.805672 35.52934 0.00059 
55042.876081 35.53238 0.00042 
55044.885876 35.53455 0.00065 
55045.847936 35.52777 0.00054 
55067.829962 35.53283 0.00050 
55068.857573 35.53175 0.00059 
55069.809858 35.52925 0.00050 
55070.808393 35.53095 0.00063 
55071.806534 35.53285 0.00045 
55072.870486 35.53447 0.00044 
55074.843681 35.52982 0.00048 
55076.815394 35.52740 0.00077 
55095.813607 35.53214 0.00053 
55096.775849 35.52873 0.00052 
55097.862579 35.52432 0.00065 
55099.817834 35.52230 0.00047 
55101.809197 35.53485 0.00093 
55103.753359 35.52780 0.00070 
55106.712448 35.52879 0.00054 
55108.743117 35.52738 0.00056 
55110.698889 35.51991 0.00054 
55112.713465 35.52889 0.00060 
55113.697280 35.53144 0.00053 
55115.751504 35.52800 0.00068 
55121.790157 35.53599 0.00057 
55122.741306 35.53456 0.00054 
55123.724617 35.53441 0.00050 
